species,a.10.5,b.5.0,c.0.-5,d.-5.-10,e.-10.-15,f.-15.-20,g.-20.-25,num_of_regions
Miconia decurrens,1300,1000,1000,800,500,N/A,N/A,5
Miconia denticulata,1300,1400,1400,1400,0,N/A,N/A,5
Miconia divergens,900,400,500,N/A,N/A,N/A,N/A,3
Miconia dodecandra,1600,1800,1800,700,1100,1000,N/A,6
Miconia dolichopoda,2800,1600,N/A,N/A,N/A,N/A,N/A,2
Miconia dolichorrhyncha,2400,2500,2500,1300,2400,1800,N/A,6
Miconia donaeana,700,100,N/A,N/A,400,N/A,N/A,3
Miconia elata,2400,3400,1100,N/A,400,0,N/A,5
Miconia elongata,0,N/A,N/A,900,2500,1700,N/A,4
Miconia floribunda,2100,1800,1000,200,1400,N/A,N/A,5
Miconia fragrans,1500,0,N/A,N/A,N/A,N/A,N/A,2
Miconia goniostigma,2800,2000,1200,N/A,N/A,N/A,N/A,3
Miconia gracilis,1900,1800,1400,N/A,N/A,N/A,N/A,3
Miconia ibaguensis,2600,1900,0,300,1100,2200,N/A,6
Miconia incachacana,1300,N/A,N/A,N/A,100,500,N/A,3
Miconia jahnii,2700,1500,1600,N/A,N/A,N/A,N/A,3
Miconia laetivirens,1500,900,N/A,N/A,N/A,N/A,N/A,2
Miconia lamprophylla,1500,1900,1400,0,400,400,N/A,6
Miconia latifolia,3700,3200,1400,900,600,0,N/A,6
Miconia lehmannii,2300,3100,N/A,N/A,N/A,N/A,N/A,2
Miconia ligustrina,1200,3400,900,N/A,N/A,N/A,N/A,3
Miconia lonchophylla,2500,2000,N/A,N/A,N/A,N/A,N/A,2
Miconia longifolia,2000,2700,2700,900,2700,0,N/A,6
Miconia matthaei,1200,700,700,400,1300,1200,N/A,6
Miconia microcarpa,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Miconia micropetala,2100,1200,1600,0,1700,800,N/A,6
Miconia minutiflora,1900,1300,100,N/A,N/A,N/A,N/A,3
Miconia mirabilis,1700,1200,N/A,N/A,N/A,0,N/A,3
Miconia multiplinervia,1400,3000,0,N/A,N/A,N/A,N/A,3
Miconia myriantha,800,1100,100,200,300,600,N/A,6
Miconia myrtillifolia,2100,1100,N/A,N/A,N/A,N/A,N/A,2
Miconia notabilis,1600,2400,100,N/A,N/A,N/A,N/A,3
Miconia ochracea,1000,2800,500,N/A,N/A,N/A,N/A,3
Miconia orcheotoma,2000,800,0,N/A,N/A,N/A,N/A,3
Miconia orescia,1800,2600,N/A,N/A,N/A,N/A,N/A,2
Miconia plena,1400,100,N/A,N/A,N/A,N/A,N/A,2
Miconia poeppigii,2400,600,700,200,1400,700,N/A,6
Miconia prasina,2300,3400,1500,800,1200,2300,N/A,6
Miconia pterocaulon,1300,1300,200,0,0,N/A,N/A,5
Miconia punctata,2300,1800,2700,1800,1900,1900,N/A,6
Miconia pustulata,1500,1300,1000,N/A,N/A,N/A,N/A,3
Miconia quintuplinervia,1800,200,N/A,N/A,N/A,N/A,N/A,2
Miconia reducens,2200,1500,0,0,100,400,N/A,6
Miconia resima,2600,1800,N/A,N/A,N/A,N/A,N/A,2
Miconia rivetii,0,1300,2100,N/A,300,N/A,N/A,4
Miconia rupticalyx,0,0,300,N/A,N/A,1300,N/A,4
Miconia sandemanii,1000,N/A,N/A,N/A,N/A,N/A,N/A,1
Miconia serrulata,1700,1300,2400,400,600,300,N/A,6
Miconia smaragdina,2600,2200,1800,N/A,N/A,N/A,N/A,3
Miconia spicellata,1200,1500,N/A,N/A,N/A,N/A,N/A,2
Miconia splendens,2200,1700,2600,700,3700,1500,N/A,6
Miconia superposita,500,200,N/A,N/A,N/A,N/A,N/A,2
Miconia ternatifolia,300,800,700,2200,1700,1000,N/A,6
Miconia theizans,3200,3300,3000,1300,3100,3100,N/A,6
Miconia tinifolia,1700,1600,2400,N/A,N/A,N/A,N/A,3
Miconia tonduzii,700,1200,N/A,N/A,N/A,N/A,N/A,2
Miconia trinervia,2500,1700,1500,0,600,300,N/A,6
Miconia voronovii,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Miconia wurdackii,1300,1100,N/A,N/A,N/A,N/A,N/A,2
Micropholis egensis,600,1000,400,400,1000,0,N/A,6
Micropholis guyanensis,2000,1500,1900,900,1500,1300,N/A,6
Micropholis melinoniana,1600,900,400,0,900,N/A,N/A,5
Micropholis venulosa,1900,1300,1600,1400,1400,1100,N/A,6
Minquartia guianensis,600,1100,2700,1300,1200,N/A,N/A,5
Mollinedia killipii,900,1000,1600,1700,1000,1000,N/A,6
Mollinedia lanceolata,300,0,800,700,2400,2100,N/A,6
Mollinedia minutiflora,700,N/A,N/A,N/A,N/A,N/A,N/A,1
Mollinedia ovata,1600,2300,2200,1800,2200,2600,N/A,6
Mollinedia repanda,1200,N/A,1600,2300,3000,2300,N/A,5
Mollinedia tomentosa,2300,1800,1900,0,0,400,N/A,6
Monnina aestuans,2300,2500,1400,N/A,N/A,N/A,N/A,3
Morella parvifolia,1400,3500,2600,800,0,0,N/A,6
Morella pubescens,3100,3600,2900,3300,2200,3600,1100,7
Morisonia americana,2100,700,N/A,N/A,N/A,N/A,N/A,2
Morisonia oblongifolia,1100,N/A,N/A,0,100,N/A,N/A,3
Morus alba,1300,2400,700,N/A,0,800,0,6
Mosannona hypoglauca,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Mouriri nigra,700,200,400,300,1000,0,N/A,6
Moutabea gentryi,700,N/A,200,N/A,0,N/A,N/A,3
Muntingia calabura,1500,3300,2500,1400,1800,1400,300,7
Myrcia cucullata,1700,2200,N/A,N/A,N/A,N/A,N/A,2
Myrcia minutiflora,0,N/A,0,N/A,200,N/A,N/A,3
Myrcia mollis,500,0,2400,1300,2500,2500,N/A,6
Myrcia neesiana,0,1200,2100,1900,2100,0,N/A,6
Myrcia paivae,2300,3400,2600,1000,2300,2200,N/A,6
Myrcia paive,2300,3400,2600,1000,2300,2200,N/A,6
Myrcia popayanensis,1800,1900,N/A,N/A,N/A,N/A,N/A,2
Myrcia splendens,2700,2500,2700,2600,2900,2300,N/A,6
Myrcia sylvatica,1400,1300,1700,1600,2100,600,N/A,6
Myrcianthes karsteniana,0,0,N/A,N/A,0,N/A,N/A,3
Myrcianthes myrsinoides,1700,400,3200,500,100,700,N/A,6
Myrcianthes orthostemon,2800,1600,1800,N/A,N/A,0,N/A,4
Myrcianthes rhopaloides,1200,1900,2500,1600,1300,1000,N/A,6
Myriocarpa stipitata,2500,2800,1800,2300,2700,1700,400,7
Myroxylon balsamum,1400,1100,1600,300,1100,1300,0,7
Myrsine andina,3000,3000,3100,1200,1800,700,N/A,6
Myrsine coriacea,3300,2700,2000,0,N/A,0,N/A,5
Myrsine dependens,2100,2500,1900,1800,2600,1600,N/A,6
Myrsine guianensis,3200,3300,2700,N/A,N/A,600,N/A,4
Myrsine latifolia,2100,2700,2600,2300,2100,3000,N/A,6
Myrsine oligophylla,0,0,N/A,1700,1800,0,N/A,5
Myrsine pellucida,2800,2700,2600,2500,3300,2700,N/A,6
Myrsine pellucidopunctata,1600,3100,N/A,N/A,N/A,N/A,N/A,2
Naucleopsis capirensis,1700,1800,N/A,N/A,N/A,N/A,N/A,2
Naucleopsis glabra,1700,2100,2000,0,600,0,N/A,6
Naucleopsis naga,600,1900,1400,N/A,0,N/A,N/A,4
Naucleopsis ulei,400,900,1500,1500,700,100,N/A,6
Nectandra acutifolia,2200,2800,2000,1800,2000,1500,N/A,6
Nectandra cissiflora,700,0,2200,1600,2500,2100,N/A,6
Nectandra cuspidata,2300,1100,1700,1400,2100,2100,N/A,6
Nectandra laurel,1800,2100,2200,1500,2200,1300,N/A,6
Nectandra lineata,1500,2600,1900,200,0,0,N/A,6
Nectandra lineatifolia,1800,2800,2000,1600,1600,0,N/A,6
Nectandra longifolia,0,1400,1500,1800,1700,1600,N/A,6
Nectandra membranacea,2400,2200,2800,2100,2800,2200,0,7
Nectandra obtusata,2100,3100,1400,1000,500,0,N/A,6
Nectandra reticulata,2200,2300,2500,2500,3300,2100,N/A,6
Neea amplifolia,1800,N/A,N/A,N/A,200,0,N/A,3
Neea divaricata,1900,1800,1700,1400,900,700,N/A,6
Neea floribunda,1700,1300,400,600,1400,400,N/A,6
Neea macrophylla,1300,900,1000,800,1400,1800,N/A,6
Neea ovalifolia,100,700,1500,500,1800,1200,N/A,6
Neea parviflora,1700,800,500,700,800,N/A,N/A,5
Neea spruceana,1100,1000,1400,1300,1100,1000,N/A,6
Neea virens,900,500,1200,1400,800,0,N/A,6
Norantea guianensis,400,1900,1800,N/A,500,N/A,N/A,4
Notopleura macrophylla,2900,2700,2900,1900,2500,2700,N/A,6
Notopleura siggersiana,2900,1700,300,N/A,N/A,N/A,N/A,3
Ochroma pyramidale,2200,3200,1700,1500,3200,1200,N/A,6
Ocotea aciphylla,2300,2600,2800,2400,1900,1800,N/A,6
Ocotea arnottiana,0,0,400,1000,400,N/A,N/A,5
Ocotea benthamiana,600,900,1300,100,N/A,N/A,N/A,4
Ocotea bofo,1300,1200,1700,2300,1500,200,N/A,6
Ocotea cernua,1800,1700,2800,1500,2700,800,N/A,6
Ocotea costulata,2000,300,1000,300,1700,N/A,N/A,5
Ocotea floribunda,2500,2700,3000,1400,2500,1200,N/A,6
Ocotea guianensis,3300,3300,N/A,700,1300,700,N/A,5
Ocotea infrafoveolata,0,800,2400,N/A,N/A,N/A,N/A,3
Ocotea insularis,2200,2900,2100,1600,500,N/A,N/A,5
Ocotea javitensis,2300,1700,2100,1800,1800,N/A,0,6
Ocotea jelskii,200,0,N/A,0,1200,1100,N/A,5
Ocotea leucoxylon,2100,2400,1500,1300,1400,0,N/A,6
Ocotea longifolia,2300,2800,1400,1600,1800,1800,N/A,6
Ocotea macropoda,1500,2100,N/A,N/A,N/A,N/A,N/A,2
Ocotea micans,1800,200,N/A,0,N/A,N/A,N/A,3
Ocotea multinervis,200,300,0,N/A,N/A,N/A,N/A,3
Ocotea oblonga,3000,2400,2300,1800,1600,1300,N/A,6
Ocotea olivacea,100,0,1700,600,1200,500,N/A,6
Ocotea pacifica,0,2200,200,N/A,N/A,N/A,N/A,3
Ocotea pichinchensis,0,0,200,N/A,N/A,N/A,N/A,3
Ocotea puberula,2400,1900,1800,1300,2800,2800,500,7
Ocotea rufa,300,1100,N/A,N/A,N/A,N/A,N/A,2
Ocotea sericea,2200,2200,300,N/A,N/A,0,N/A,4
Ocotea smithiana,1600,1100,1000,N/A,N/A,N/A,N/A,3
Ocotea terciopelo,800,N/A,N/A,N/A,N/A,N/A,N/A,1
Ocotea tessmannii,1800,1600,2000,1300,700,N/A,N/A,5
Oenocarpus bacaba,0,400,200,N/A,0,N/A,N/A,4
Oenocarpus bataua,700,900,1200,1200,1300,1000,N/A,6
Oenocarpus mapora,700,3500,900,900,1900,N/A,N/A,5
Oenocarpus minor,900,2300,400,100,200,0,N/A,6
Olmedia aspera,1600,3000,2100,2100,1500,1300,N/A,6
Oreopanax albanensis,1100,700,0,N/A,N/A,N/A,N/A,3
Oreopanax bogotensis,1900,1400,1500,N/A,N/A,N/A,N/A,3
Oreopanax capitatus,2600,3000,2300,1900,2200,0,N/A,6
Oreopanax discolor,1600,2000,N/A,N/A,N/A,N/A,N/A,2
Oreopanax incisus,1800,2200,1500,0,N/A,N/A,N/A,4
Oreopanax microflorous,0,N/A,2200,N/A,0,N/A,N/A,3
Oreopanax palamophyllus,400,1100,2100,N/A,N/A,N/A,N/A,3
Oreopanax seemannianus,0,1800,1400,N/A,N/A,N/A,N/A,3
Ormosia antioquensis,1300,N/A,N/A,N/A,N/A,N/A,N/A,1
Ormosia cuatrecasasii,1200,N/A,N/A,N/A,N/A,N/A,N/A,1
Orthaea glandulifera,1100,0,N/A,N/A,N/A,N/A,N/A,2
Ossaea micrantha,2100,3500,1900,0,0,N/A,N/A,5
Osteophloeum platyspermum,600,700,1300,1100,1000,N/A,N/A,5
Otoba acuminata,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Otoba gordoniifolia,900,2100,2100,N/A,N/A,N/A,N/A,3
Otoba novogranatensis,1900,1700,1600,N/A,N/A,N/A,N/A,3
Otoba parvifolia,100,1600,1600,2400,1600,700,N/A,6
Ouratea amplifolia,1100,400,400,200,300,N/A,N/A,5
Ouratea pendula,500,400,300,500,200,0,N/A,6
Ouratea rubricyanea,400,N/A,N/A,N/A,N/A,N/A,N/A,1
Oxandra espintana,600,900,N/A,0,900,300,N/A,5
Oxandra longipetala,200,N/A,N/A,N/A,0,N/A,N/A,2
Oxandra panamensis,400,0,N/A,N/A,N/A,N/A,N/A,2
Oxandra polyantha,300,0,100,N/A,2000,N/A,N/A,4
Oxandra venezuelana,700,N/A,N/A,N/A,N/A,N/A,N/A,1
Pachira mutisiana,200,N/A,N/A,N/A,N/A,N/A,N/A,1
Pachira sessilis,300,N/A,N/A,N/A,N/A,N/A,N/A,1
Palicourea acetosoides,1900,2300,N/A,N/A,N/A,N/A,N/A,2
Palicourea amethystina,1100,2700,2700,2300,2000,2100,N/A,6
Palicourea andaluciana,2500,1200,500,0,N/A,N/A,N/A,4
Palicourea andrei,0,1300,1700,100,0,N/A,N/A,5
Palicourea angustifolia,3200,2400,1900,400,N/A,N/A,N/A,4
Palicourea apicata,2100,2100,1400,N/A,300,N/A,N/A,4
Palicourea calophlebia,1400,1000,900,N/A,N/A,N/A,N/A,3
Palicourea cogolloi,1700,1700,N/A,N/A,N/A,N/A,N/A,2
Palicourea demissa,2400,2700,2900,1400,N/A,N/A,N/A,4
Palicourea garciae,3200,3200,2200,400,300,N/A,N/A,5
Palicourea guianensis,2900,3400,2400,1600,1800,1600,N/A,6
Palicourea latifolia,1700,900,200,400,2100,N/A,N/A,5
Palicourea leuconeura,1600,1100,0,N/A,N/A,N/A,N/A,3
Palicourea luteonivea,0,2100,2300,1100,800,0,N/A,6
Palicourea lyristipula,2600,2400,2200,3000,400,N/A,N/A,5
Palicourea obovata,1600,1800,1800,1400,3200,N/A,N/A,5
Palicourea palenquensis,0,1900,1800,N/A,N/A,N/A,N/A,3
Palicourea perquadrangularis,2400,1400,N/A,N/A,N/A,N/A,N/A,2
Palicourea pyramidalis,1300,2500,2300,N/A,N/A,N/A,N/A,3
Palicourea rigidifolia,2200,0,N/A,N/A,N/A,N/A,N/A,2
Palicourea schlimii,500,N/A,N/A,N/A,N/A,N/A,N/A,1
Palicourea stipularis,2600,3100,2000,700,1500,1900,N/A,6
Palicourea sulphurea,2200,3200,400,2000,1400,N/A,N/A,5
Palicourea thyrsiflora,2800,2400,2800,2700,2500,2300,N/A,6
Palicourea weberbaueri,1200,2100,2300,1500,700,N/A,N/A,5
Panopsis metcalfii,700,700,800,N/A,N/A,N/A,N/A,3
Panopsis mucronata,1500,900,300,N/A,800,N/A,N/A,4
Panopsis polystachya,900,2100,900,0,N/A,N/A,N/A,4
Panopsis rubescens,1300,1300,2600,N/A,2300,0,N/A,5
Panopsis suaveolens,2800,800,0,N/A,0,N/A,N/A,4
Panopsis yolombo,2200,700,N/A,N/A,N/A,N/A,N/A,2
Paragynoxys corei,1200,N/A,N/A,N/A,N/A,N/A,N/A,1
Parathesis adenanthera,1100,900,1700,300,1500,1000,N/A,6
Parinari pachyphylla,300,0,N/A,N/A,N/A,N/A,N/A,2
Passiflora arborea,1500,2600,1600,400,N/A,N/A,N/A,4
Passiflora macrophylla,1100,1700,1800,N/A,N/A,N/A,N/A,3
Paullinia capreolata,1900,1900,1800,1700,1100,200,N/A,6
Pausandra trianae,0,500,700,0,600,700,N/A,6
Peltogyne paniculata,1000,100,N/A,N/A,0,N/A,N/A,3
Peltogyne purpurea,500,N/A,N/A,N/A,N/A,N/A,N/A,1
Pentacalia disciformis,0,1200,200,N/A,N/A,N/A,N/A,3
Pentacalia theifolia,2300,1300,1400,N/A,N/A,N/A,N/A,3
Pentagonia grandiflora,0,1500,100,N/A,N/A,N/A,N/A,3
Pentagonia macrophylla,2600,1200,1200,0,0,N/A,N/A,5
Peperomia elongata,900,2800,2100,0,1300,1000,N/A,6
Pera arborea,900,1300,N/A,N/A,0,N/A,N/A,3
Pera colombiana,2000,N/A,N/A,N/A,N/A,N/A,N/A,1
Pera glabrata,1200,600,0,N/A,100,0,N/A,5
Perebea angustifolia,1700,1800,1200,1700,900,N/A,N/A,5
Perebea guianensis,1700,1200,1400,1100,1500,2000,N/A,6
Perebea xanthochyma,1900,1700,1400,800,1500,N/A,N/A,5
Perissocarpa steyermarkii,1500,700,N/A,N/A,N/A,N/A,N/A,2
Perrottetia gentryi,300,N/A,N/A,0,1800,1100,N/A,4
Perrottetia sessiliflora,1900,1800,1800,400,1100,N/A,N/A,5
Persea americana,2500,2900,3100,1200,3300,2900,500,7
Persea areolatocostae,1700,2300,2400,1600,2600,1300,N/A,6
Persea caerulea,2100,2800,1900,1500,3100,2300,N/A,6
Persea chrysophylla,1000,0,N/A,N/A,N/A,N/A,N/A,2
Persea cuneata,900,1700,400,0,100,N/A,N/A,5
Persea ferruginea,1900,200,700,100,200,N/A,N/A,5
Persea mutisii,1600,2000,1600,100,200,N/A,N/A,5
Persea povedae,0,700,N/A,N/A,N/A,N/A,N/A,2
Persea pseudofasciculata,0,2000,1900,0,1600,1100,N/A,6
Persea rigens,2000,1700,1800,N/A,N/A,N/A,N/A,3
Persea subcordata,2300,400,1700,1000,2100,1500,N/A,6
Petrea pubescens,3700,900,600,0,100,N/A,N/A,5
Phenakospermum guyannense,0,1300,0,N/A,N/A,N/A,N/A,3
Pholidostachys dactyloides,1400,1000,700,N/A,N/A,N/A,N/A,3
Phyllanthus acuminatus,2000,1900,2600,1100,1200,1300,1500,7
Phyllanthus attenuatus,2600,2400,1800,N/A,1300,N/A,N/A,4
Phyllanthus brasiliensis,1500,300,3500,800,100,1200,N/A,6
Phytolacca dioica,0,700,2200,1500,0,1500,N/A,6
Picramnia latifolia,500,2400,1600,700,800,800,N/A,6
Picramnia sellowii,1100,1400,2300,1400,2800,2100,N/A,6
Picrolemma huberi,2000,0,N/A,N/A,N/A,N/A,N/A,2
Pinus patula,1700,1400,700,N/A,N/A,1900,N/A,4
Piper adenandrum,2100,N/A,N/A,N/A,N/A,N/A,N/A,1
Axinaea colombiana,0,300,N/A,N/A,N/A,N/A,N/A,2
Axinaea lehmannii,1300,1700,N/A,N/A,N/A,N/A,N/A,2
Axinaea macrophylla,1300,2300,2200,N/A,N/A,N/A,N/A,3
Axinaea pennellii,900,N/A,N/A,N/A,300,N/A,N/A,2
Axinaea scutigera,1100,1800,900,N/A,900,0,N/A,5
Baccharis brachylaenoides,2200,2300,2200,2500,2100,800,N/A,6
Baccharis latifolia,2400,3600,3200,2300,2800,3500,700,7
Baccharis oblongifolia,3000,2400,1900,1500,2200,1300,N/A,6
Bactris barronis,600,N/A,N/A,N/A,N/A,N/A,N/A,1
Bactris gasipaes,2000,2000,1400,1500,1300,200,N/A,6
Bactris maraja,800,600,1100,300,600,100,N/A,6
Bactris pilosa,700,N/A,N/A,N/A,N/A,N/A,N/A,1
Bactris setulosa,2000,1600,1600,500,100,N/A,N/A,5
Banara glauca,1300,1400,0,N/A,N/A,N/A,N/A,3
Banara guianensis,1600,2900,2400,1800,2900,1500,N/A,6
Banara ibaguensis,300,200,2200,N/A,N/A,N/A,N/A,3
Barnadesia parviflora,1500,2300,1800,600,N/A,N/A,N/A,4
Batocarpus costaricensis,1100,N/A,700,600,1100,0,N/A,5
Bauhinia picta,2000,2300,N/A,N/A,400,100,N/A,4
Bauhinia tarapotensis,0,700,1400,300,900,N/A,N/A,5
Beilschmiedia alloiophylla,0,2100,1900,N/A,N/A,N/A,N/A,3
Beilschmiedia costaricensis,2200,2500,2200,1700,1900,0,N/A,6
Beilschmiedia latifolia,700,N/A,2000,100,2200,0,N/A,5
Beilschmiedia pendula,900,1200,1400,1500,400,N/A,N/A,5
Beilschmiedia sulcata,600,1200,1000,0,0,N/A,N/A,5
Beilschmiedia tovarensis,2300,2400,2200,900,2700,1600,N/A,6
Bejaria aestuans,3300,3400,2200,3300,2800,2400,900,7
Bejaria resinosa,2000,3300,1900,1300,0,N/A,N/A,5
Bellucia grossularioides,1800,1900,600,0,900,600,N/A,6
Bellucia pentamera,2200,1500,2400,900,2000,1300,N/A,6
Bertiera angustifolia,800,700,2200,0,900,N/A,N/A,5
Besleria formosa,2200,2600,1700,N/A,N/A,N/A,N/A,3
Billia rosea,3300,3700,2400,N/A,N/A,N/A,N/A,3
Blakea cuatrecasii,1500,1100,N/A,N/A,N/A,N/A,N/A,2
Blakea holtonii,1100,300,N/A,N/A,N/A,N/A,N/A,2
Piper aduncum,3100,2900,3000,2900,2200,2600,1000,7
Piper amalago,2100,2300,500,2200,1400,1700,1300,7
Piper andreanum,0,1500,1500,1900,N/A,N/A,N/A,4
Piper arboreum,2300,1800,2400,2400,1300,1000,N/A,6
Piper archeri,2100,900,N/A,N/A,N/A,N/A,N/A,2
Piper artanthe,2800,3100,0,N/A,N/A,N/A,N/A,3
Piper augustum,3100,2300,2900,900,1000,N/A,N/A,5
Piper barbatum,1700,1800,2100,2900,200,N/A,N/A,5
Piper carpunya,1800,2600,2200,1300,0,N/A,N/A,5
Piper cernuum,2200,2100,1600,N/A,N/A,1200,N/A,4
Piper crassinervium,2800,3100,2500,1200,2600,2200,N/A,6
Piper daniel-gonzalezii,900,800,N/A,N/A,N/A,N/A,N/A,2
Piper divulgatum,1300,0,N/A,N/A,N/A,N/A,N/A,2
Piper glanduligerum,2100,1600,600,N/A,N/A,N/A,N/A,3
Piper gorgonillense,1100,1500,N/A,N/A,N/A,N/A,N/A,2
Piper grande,2200,2200,1500,100,N/A,N/A,N/A,4
Piper imperiale,1600,1900,2800,N/A,N/A,N/A,N/A,3
Piper lacunosum,2200,2600,400,N/A,N/A,N/A,N/A,3
Piper longispicum,1400,1100,1400,N/A,N/A,N/A,N/A,3
Piper marequitense,1100,800,1600,N/A,N/A,200,N/A,4
Piper munchanum,2200,N/A,1800,1200,N/A,N/A,N/A,3
Piper nubigenum,500,3000,2900,N/A,N/A,N/A,N/A,3
Piper obliquum,2500,2100,2200,2600,2100,700,N/A,6
Piper phytolaccifolium,2100,1100,2600,0,0,N/A,N/A,5
Piper reticulatum,1300,1000,400,600,900,0,N/A,6
Piper scobinifolium,500,800,N/A,N/A,N/A,N/A,N/A,2
Piper tuberculatum,2100,1900,1000,1700,1000,500,N/A,6
Piptadenia uliginosa,1800,N/A,N/A,N/A,N/A,N/A,N/A,1
Piptocoma discolor,3100,3100,2800,1800,0,N/A,N/A,5
Pisonia aculeata,300,1000,900,N/A,300,0,N/A,5
Pithecellobium dulce,1500,1300,N/A,N/A,N/A,N/A,N/A,2
Platymiscium darienense,1400,N/A,0,N/A,N/A,N/A,N/A,2
Platymiscium hebestachyum,1800,300,N/A,N/A,N/A,N/A,N/A,2
Platymiscium pinnatum,2300,1100,800,0,1400,1400,N/A,6
Platymiscium stipulare,100,1700,1100,300,800,1000,N/A,6
Platypodium elegans,800,200,N/A,N/A,0,2200,N/A,4
Pleuranthodendron lindenii,700,800,900,1100,300,N/A,N/A,5
Pleurothyrium cuneifolium,1100,1300,1200,1400,2200,800,N/A,6
Pleurothyrium glabritepalum,1300,100,N/A,N/A,N/A,N/A,N/A,2
Pleurothyrium trianae,2100,600,2000,600,1700,700,N/A,6
Plumeria rubra,1300,700,400,0,N/A,2400,N/A,5
Podocarpus guatemalensis,1400,800,1700,N/A,N/A,N/A,N/A,3
Podocarpus magnifolius,1100,600,N/A,300,1700,600,N/A,5
Podocarpus oleifolius,3300,2800,3100,2800,3000,1600,N/A,6
Poeppigia procera,400,0,N/A,N/A,200,0,N/A,4
Pogonopus speciosus,2500,N/A,N/A,N/A,0,N/A,N/A,2
Pogonopus tubulosus,0,N/A,N/A,N/A,2300,1400,1500,4
Polybotrya polybotryoides,2000,1800,1400,0,0,N/A,N/A,5
Posoqueria chocoana,0,1300,0,N/A,N/A,N/A,N/A,3
Posoqueria coriacea,2800,2600,1900,2000,3200,N/A,N/A,5
Posoqueria latifolia,2700,2400,1900,1300,2300,300,N/A,6
Potalia amara,500,800,1100,1100,1000,N/A,N/A,5
Poulsenia armata,1900,1700,1400,800,1500,900,N/A,6
Pourouma bicolor,1600,1700,1700,700,1600,700,N/A,6
Pourouma cecropiifolia,2000,1300,2000,900,1300,1400,N/A,6
Pourouma guianensis,200,1600,1700,1400,1600,1200,N/A,6
Pourouma hirsutipetiolata,1000,400,N/A,N/A,N/A,N/A,N/A,2
Pourouma melinonii,1200,600,1700,1300,0,N/A,N/A,5
Pourouma minor,2200,1200,1600,700,3000,1400,N/A,6
Pourouma mollis,0,400,1800,1500,1300,0,N/A,6
Pouteria baehniana,2100,1900,2000,1200,1000,1800,N/A,6
Pouteria bangii,0,400,1800,0,1300,800,N/A,6
Pouteria bilocularis,0,900,1500,1100,1700,1300,N/A,6
Pouteria caimito,2400,1700,2000,1000,1800,2100,N/A,6
Pouteria cuspidata,900,1400,1500,800,1400,1100,N/A,6
Pouteria durlandii,900,0,900,N/A,1300,600,N/A,5
Pouteria glomerata,500,800,1400,0,1000,200,N/A,6
Pouteria guianensis,0,0,0,N/A,N/A,N/A,N/A,3
Pouteria lucuma,2400,2000,2100,1900,1400,N/A,N/A,5
Pouteria multiflora,1800,1800,1400,100,N/A,0,N/A,5
Pouteria reticulata,900,900,1100,400,1000,100,N/A,6
Pouteria sapota,1400,700,0,N/A,0,N/A,N/A,4
Pouteria stipitata,200,N/A,N/A,N/A,N/A,N/A,N/A,1
Pouteria subrotata,200,900,700,N/A,N/A,0,N/A,4
Pouteria torta,2200,3900,1400,2400,1600,1800,N/A,6
Pouteria trilocularis,1700,1500,1000,600,1700,N/A,N/A,5
Pradosia colombiana,600,N/A,N/A,N/A,N/A,N/A,N/A,1
Praecereus euchlorus,1000,300,1400,0,500,700,0,7
Prestoea acuminata,1500,2500,2400,1700,1800,1500,N/A,6
Prestoea decurrens,1000,1500,800,N/A,N/A,N/A,N/A,3
Prestoea ensiformis,100,1800,2100,N/A,0,N/A,N/A,4
Prionostemma asperum,500,400,N/A,N/A,300,600,N/A,4
Protium altsonii,600,3300,200,0,800,N/A,N/A,5
Protium amazonicum,0,1200,900,400,800,100,N/A,6
Protium amplum,900,1600,0,N/A,N/A,N/A,N/A,3
Protium apiculatum,1000,1700,300,N/A,100,N/A,N/A,4
Protium aracouchini,900,1300,1400,600,1300,N/A,N/A,5
Protium colombianum,2000,700,0,N/A,N/A,N/A,N/A,3
Protium cundinamarcense,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Protium cuneatum,0,N/A,200,N/A,N/A,N/A,N/A,2
Protium divaricatum,100,300,500,300,1300,N/A,N/A,5
Protium ecuadorense,1300,1700,800,N/A,N/A,N/A,N/A,3
Protium glabrescens,0,800,300,0,2000,400,N/A,6
Protium guianense,900,700,100,N/A,0,N/A,N/A,4
Protium hebetatum,300,3400,200,2300,200,N/A,N/A,5
Protium laxiflorum,0,200,500,N/A,N/A,N/A,N/A,3
Protium macrophyllum,600,800,0,0,600,N/A,N/A,5
Protium opacum,600,1300,1600,0,700,0,N/A,6
Protium panamense,300,N/A,N/A,N/A,N/A,N/A,N/A,1
Protium sagotianum,1000,700,500,300,300,0,N/A,6
Protium spruceanum,800,1100,700,100,1300,N/A,N/A,5
Protium subserratum,1200,800,1000,800,N/A,N/A,N/A,4
Protium tenuifolium,1600,1000,300,500,500,N/A,N/A,5
Protium tovarense,1200,2000,N/A,N/A,N/A,N/A,N/A,2
Protium unifoliolatum,2000,1000,400,0,900,200,N/A,6
Prumnopitys harmsiana,500,0,1700,300,2100,600,N/A,6
Prumnopitys montana,2400,3100,1900,1700,1300,0,N/A,6
Prunus debilis,2600,2300,2100,2300,2800,1400,N/A,6
