species,a.10.5,b.5.0,c.0.-5,d.-5.-10,e.-10.-15,f.-15.-20,g.-20.-25
Baccharis oblongifolia,0,1800,1100,2400,2200,1300,N/A
Bactris barronis,100,N/A,N/A,N/A,N/A,N/A,N/A
Bactris gasipaes,0,1000,1000,1500,1300,0,N/A
Bactris maraja,100,500,900,300,600,100,N/A
Bactris pilosa,0,200,N/A,N/A,N/A,N/A,N/A
Bactris setulosa,200,700,1400,500,100,N/A,N/A
Banara glauca,0,1200,0,N/A,N/A,N/A,N/A
Banara guianensis,300,1600,2100,1800,2900,1500,N/A
Banara ibaguensis,0,1400,2200,N/A,N/A,N/A,N/A
Barnadesia parviflora,600,1900,1800,600,N/A,N/A,N/A
Batocarpus costaricensis,100,N/A,100,600,1100,0,N/A
Bauhinia picta,1400,900,N/A,N/A,0,100,N/A
Beilschmiedia costaricensis,1400,1500,1400,1700,1900,0,N/A
Beilschmiedia latifolia,700,N/A,0,100,2200,0,N/A
Beilschmiedia pendula,0,200,400,1500,0,N/A,N/A
Beilschmiedia tovarensis,0,1200,1600,900,2700,1600,N/A
Bejaria aestuans,2400,2100,2200,3300,2800,2400,900
Bejaria resinosa,1200,1700,1900,1300,0,N/A,N/A
Bellucia grossularioides,100,1900,200,300,900,600,N/A
Bellucia pentamera,1400,1200,1500,900,2000,1300,N/A
Besleria formosa,1400,2100,1700,N/A,N/A,N/A,N/A
Billia rosea,1500,3700,1400,N/A,N/A,N/A,N/A
Blakea cuatrecasii,0,0,N/A,N/A,N/A,N/A,N/A
Blakea holtonii,1100,300,N/A,N/A,N/A,N/A,N/A
Piper aduncum,2600,2100,3000,2900,2200,2600,1000
Piper amalago,1100,100,300,2300,1400,1700,1300
Piper arboreum,2500,1700,2100,2400,1300,1300,N/A
Piper artanthe,900,1100,0,N/A,N/A,N/A,N/A
Piper augustum,3000,2100,2000,900,1000,N/A,N/A
Piper barbatum,1700,1000,1900,2900,200,N/A,N/A
Piper carpunya,0,1000,2000,1300,0,N/A,N/A
Piper cernuum,2100,1500,0,0,N/A,1200,N/A
Piper crassinervium,600,1900,2100,1200,2600,2200,N/A
Piper daniel-gonzalezii,800,300,N/A,N/A,N/A,N/A,N/A
Piper divulgatum,1100,N/A,N/A,N/A,N/A,N/A,N/A
Piper glanduligerum,300,500,0,N/A,N/A,N/A,N/A
Piper grande,200,300,400,100,N/A,N/A,N/A
Piper imperiale,0,700,1100,N/A,N/A,N/A,N/A
Piper lacunosum,700,700,400,N/A,N/A,N/A,N/A
Piper longispicum,600,300,0,N/A,N/A,N/A,N/A
Piper munchanum,0,N/A,400,1200,N/A,N/A,N/A
Piper nubigenum,0,2400,1400,N/A,N/A,N/A,N/A
Piper obliquum,0,2100,2200,2600,2100,0,N/A
Piper phytolaccifolium,300,1000,2600,0,0,N/A,N/A
Piper reticulatum,0,0,500,600,900,0,N/A
Piper tuberculatum,1100,300,600,1700,1000,500,N/A
Piptocoma discolor,2900,1600,2400,1800,0,N/A,N/A
Pisonia aculeata,100,600,900,N/A,200,0,N/A
Pithecellobium dulce,1400,1000,N/A,N/A,N/A,N/A,N/A
Platymiscium darienense,1200,N/A,0,N/A,N/A,N/A,N/A
Platymiscium hebestachyum,1400,0,N/A,N/A,N/A,N/A,N/A
Platymiscium pinnatum,500,600,200,0,1400,1400,N/A
Platypodium elegans,100,0,N/A,0,0,2200,N/A
Pleuranthodendron lindenii,100,200,900,1100,300,N/A,N/A
Pleurothyrium cuneifolium,200,1300,1000,1400,2100,800,N/A
Pleurothyrium glabritepalum,0,N/A,N/A,N/A,N/A,N/A,N/A
Pleurothyrium trianae,100,0,1900,600,1400,700,N/A
Plumeria rubra,1300,0,1400,0,100,2400,N/A
Podocarpus guatemalensis,0,0,1700,N/A,N/A,N/A,N/A
Podocarpus magnifolius,0,600,N/A,300,1700,600,N/A
Podocarpus oleifolius,1500,2800,3100,2800,3000,1600,N/A
Poeppigia procera,0,0,N/A,0,200,0,N/A
Polybotrya polybotryoides,1300,300,1200,0,0,N/A,N/A
Posoqueria chocoana,0,300,0,N/A,N/A,N/A,N/A
Posoqueria coriacea,0,1700,1600,2000,3200,N/A,N/A
Posoqueria latifolia,100,1600,1600,1300,2300,100,N/A
Poulsenia armata,1700,1500,1100,800,1500,900,N/A
Pourouma bicolor,1600,1300,1600,700,1400,700,N/A
Pourouma cecropiifolia,0,1200,2000,900,1300,1400,N/A
Pourouma guianensis,0,900,1700,1400,1600,1200,N/A
Pourouma hirsutipetiolata,900,0,N/A,N/A,N/A,N/A,N/A
Pourouma melinonii,0,0,1600,1300,0,N/A,N/A
Pourouma minor,0,1000,1600,700,3000,1400,N/A
Pouteria baehniana,600,1500,2000,1200,1000,1800,N/A
Pouteria bangii,0,200,1800,0,1000,800,N/A
Pouteria buenaventurensis,100,0,1100,N/A,N/A,N/A,N/A
Pouteria caimito,1400,1700,2000,1000,1800,2100,N/A
Pouteria cuspidata,0,1400,1500,800,1300,200,N/A
Pouteria durlandii,0,200,800,N/A,900,600,N/A
Pouteria glomerata,100,200,1100,100,1000,200,N/A
Pouteria lucuma,1100,1600,2100,1900,1400,N/A,N/A
Pouteria multiflora,100,1500,1000,100,N/A,0,N/A
Pouteria sapota,1400,900,0,N/A,0,N/A,N/A
Pouteria subrotata,0,900,0,N/A,N/A,0,N/A
Pouteria torta,2200,3500,1400,2400,1600,1800,0
Pradosia colombiana,100,N/A,N/A,N/A,N/A,N/A,N/A
Praecereus euchlorus,0,300,1400,0,500,700,0
Prestoea acuminata,300,1800,1900,1700,1800,1500,N/A
Prestoea decurrens,1100,200,500,N/A,N/A,N/A,N/A
Prestoea ensiformis,0,1200,1800,N/A,0,N/A,N/A
Prionostemma asperum,0,0,N/A,N/A,300,100,N/A
Protium amplum,0,0,0,N/A,N/A,N/A,N/A
Protium apiculatum,0,0,0,N/A,100,N/A,N/A
Protium aracouchini,0,1100,700,600,800,N/A,N/A
Protium colombianum,1200,0,0,N/A,N/A,N/A,N/A
Protium ecuadorense,0,1500,0,N/A,N/A,N/A,N/A
Protium glabrescens,0,300,300,0,2000,400,N/A
Protium opacum,0,800,1600,0,700,0,N/A
Protium panamense,200,N/A,N/A,N/A,N/A,N/A,N/A
Protium sagotianum,200,700,500,300,300,0,N/A
Protium subserratum,0,400,1000,800,0,N/A,N/A
Protium tenuifolium,1600,800,300,500,300,N/A,N/A
Protium tovarense,0,1000,N/A,N/A,N/A,N/A,N/A
Protium unifoliolatum,0,600,400,100,900,100,N/A
Prumnopitys harmsiana,0,N/A,100,300,1900,600,N/A
Prumnopitys montana,200,0,1500,1700,1300,0,N/A
Prunus debilis,0,1400,2000,2300,2800,1400,N/A
Prunus falcata,0,100,400,N/A,N/A,N/A,N/A
Prunus huantensis,100,500,2300,0,2100,0,N/A
Prunus integrifolia,100,1300,0,400,2000,2200,500
Prunus muris,300,1000,400,N/A,N/A,N/A,N/A
Prunus opaca,0,1100,1200,N/A,N/A,N/A,N/A
Prunus subcorymbosa,600,900,1100,N/A,1800,N/A,N/A
Psammisia graebneriana,500,1400,100,N/A,N/A,N/A,N/A
Psammisia macrophylla,600,1000,N/A,N/A,N/A,N/A,N/A
Pseudobombax septenatum,600,800,600,300,1000,700,N/A
Pseudolmedia laevigata,1700,1800,1600,1500,1500,1300,N/A
Pseudolmedia laevis,0,1300,1600,2400,1800,1400,N/A
Pseudolmedia rigida,1400,1600,1800,400,2800,500,N/A
Pseudomalmea boyacana,100,N/A,N/A,N/A,N/A,N/A,N/A
Pseudoxandra sclerocarpa,800,N/A,N/A,N/A,N/A,N/A,N/A
Psidium cattleyanum,0,900,N/A,N/A,N/A,N/A,N/A
Psidium guineense,1200,2400,1600,1800,1800,2200,800
Psychotria biaristata,0,N/A,N/A,0,N/A,N/A,N/A
Psychotria brachiata,1400,1500,1000,N/A,N/A,N/A,N/A
Psychotria capitata,900,300,N/A,N/A,N/A,N/A,N/A
Psychotria cauligera,100,0,800,N/A,N/A,N/A,N/A
Psychotria fortuita,0,500,600,400,800,N/A,N/A
Psychotria grandis,0,500,100,N/A,N/A,N/A,N/A
Psychotria horizontalis,0,900,800,N/A,N/A,N/A,N/A
Psychotria micrantha,900,800,700,500,400,0,N/A
Psychotria monsalveae,400,N/A,N/A,N/A,N/A,N/A,N/A
Psychotria officinalis,300,0,2700,N/A,N/A,N/A,N/A
Psychotria panamensis,0,0,N/A,N/A,N/A,N/A,N/A
Psychotria remota,1400,600,1800,1700,1400,0,N/A
Psychotria saltatrix,100,100,100,N/A,N/A,N/A,N/A
Pterandra colombiana,0,N/A,N/A,N/A,N/A,N/A,N/A
Pterocarpus acapulcensis,0,200,N/A,N/A,N/A,N/A,N/A
Pterocarpus officinalis,1100,1100,800,N/A,0,N/A,N/A
Pterocarpus rohrii,0,500,900,500,700,200,N/A
Pterygota colombiana,100,N/A,N/A,N/A,N/A,N/A,N/A
Quadrella odoratissima,0,100,N/A,N/A,N/A,N/A,N/A
Qualea lineata,2100,0,N/A,N/A,N/A,N/A,N/A
Qualea paraensis,0,1200,500,300,700,N/A,N/A
Quararibea pterocalyx,0,N/A,N/A,N/A,N/A,N/A,N/A
Quercus humboldtii,2300,2300,N/A,N/A,N/A,N/A,N/A
Randia armata,100,800,2100,700,3200,2100,800
Randia hondensis,900,0,0,N/A,N/A,N/A,N/A
Rauvolfia leptophylla,0,0,1300,N/A,900,200,N/A
Retrophyllum rospigliosii,300,3200,500,500,1600,N/A,N/A
Rhodostemonodaphne kunthiana,0,900,2000,2000,1700,1500,N/A
Rhodostemonodaphne laxa,200,1500,N/A,N/A,N/A,N/A,N/A
Rhodostemonodaphne velutina,0,N/A,N/A,N/A,N/A,N/A,N/A
Richeria dressleri,100,0,N/A,N/A,N/A,N/A,N/A
Richeria grandis,800,1700,1800,1300,1700,1700,N/A
Rinorea dasyadena,100,N/A,N/A,N/A,N/A,N/A,N/A
Rinorea hirsuta,1100,N/A,N/A,N/A,N/A,N/A,N/A
Rinorea lindeniana,0,500,700,200,800,0,N/A
Rinorea paniculata,100,200,100,N/A,600,N/A,N/A
Rinorea pubiflora,0,300,100,400,400,0,N/A
Rinorea sylvatica,100,N/A,N/A,N/A,N/A,N/A,N/A
Rinorea viridifolia,0,200,900,1400,1200,700,N/A
Ronabea latifolia,100,800,700,800,1200,400,N/A
Roucheria laxiflora,500,1100,600,400,100,500,N/A
Roupala monosperma,700,700,2000,1200,1500,300,N/A
Roupala montana,300,1000,2100,1300,2200,1700,700
Ruagea glabra,1600,2200,2400,2200,3100,1000,N/A
Ruagea hirsuta,1800,300,2500,1100,1000,1400,N/A
Ruagea pubescens,1600,1100,1300,0,800,N/A,N/A
Ruagea tomentosa,0,800,1800,N/A,300,800,N/A
Rudgea cornifolia,0,1500,1000,1700,1800,1400,N/A
Rudgea sanarensis,0,N/A,N/A,N/A,N/A,N/A,N/A
Ruprechtia tenuiflora,0,0,N/A,N/A,N/A,N/A,N/A
Rustia occidentalis,0,N/A,N/A,N/A,N/A,N/A,N/A
Salacia cordata,1100,1500,1700,1700,1400,N/A,N/A
Sambucus nigra,1900,2100,1600,0,N/A,2200,0
Sapindus saponaria,200,1700,1500,1600,2100,2400,N/A
Sapium glandulosum,0,3800,1900,2000,2300,2500,2300
Sapium laurifolium,1500,1700,1400,300,1700,0,N/A
Sapium stylare,2100,2200,1500,200,1700,N/A,N/A
Saracha punctata,0,0,1000,1200,2500,2500,N/A
Sarcaulus brasiliensis,1100,600,900,600,1500,300,N/A
Saurauia brachybotrys,1500,1800,900,N/A,N/A,N/A,N/A
Saurauia bullosa,0,1500,1900,300,N/A,N/A,N/A
Saurauia cuatrecasana,0,2400,N/A,N/A,N/A,N/A,N/A
Saurauia laevigata,1000,0,N/A,N/A,0,N/A,N/A
Saurauia prainiana,600,0,1800,1000,0,N/A,N/A
Saurauia scabra,1900,1600,N/A,N/A,N/A,N/A,N/A
Saurauia stapfiana,400,0,N/A,0,N/A,N/A,N/A
Saurauia tomentosa,1200,1400,1800,N/A,N/A,N/A,N/A
Saurauia ursina,1800,1600,0,N/A,N/A,N/A,N/A
Schefflera bejucosa,2200,0,N/A,N/A,N/A,N/A,N/A
Schefflera bogotensis,800,1100,N/A,N/A,N/A,N/A,N/A
Schefflera minutiflora,500,0,900,N/A,N/A,N/A,N/A
Schizocalyx bracteosa,1100,1300,200,N/A,N/A,N/A,N/A
Schizolobium parahyba,400,300,500,100,400,300,N/A
Schnella glabra,0,400,100,500,1300,0,N/A
Seguieria americana,0,N/A,N/A,500,1000,0,N/A
Senefeldera testiculata,100,N/A,N/A,0,N/A,N/A,N/A
Senegalia polyphylla,0,100,900,1100,1100,1400,N/A
Senegalia riparia,0,1000,200,1300,2900,1700,400
Senna bacillaris,1100,1300,1200,200,0,N/A,N/A
Senna silvestris,1400,700,200,1000,800,600,N/A
Senna spectabilis,200,1500,500,N/A,2700,1900,1300
Simarouba amara,1600,1200,2000,1500,1700,1300,N/A
Simira cordifolia,1500,400,800,300,N/A,N/A,N/A
Simira rubescens,0,1200,400,600,1000,N/A,N/A
Siparuna aspera,400,1800,2500,1800,2600,1400,N/A
Siparuna cervicornis,800,300,400,200,300,N/A,N/A
Siparuna conica,300,600,100,N/A,N/A,N/A,N/A
Siparuna decipiens,0,100,1300,300,1000,300,N/A
Siparuna echinata,400,2000,1800,N/A,N/A,N/A,N/A
Siparuna gigantotepala,0,1300,0,N/A,N/A,N/A,N/A
Siparuna guianensis,200,1200,800,700,800,1300,N/A
Siparuna laurifolia,0,2100,0,200,N/A,N/A,N/A
Siparuna lepidota,0,1600,1700,N/A,N/A,N/A,N/A
Siparuna mutisii,0,0,N/A,N/A,N/A,N/A,N/A
Siparuna thecaphora,1400,1700,2000,1700,2500,2100,N/A
Sisyrinchium micranthum,100,2000,2100,300,1000,2100,1800
Sloanea brevispina,0,1200,0,0,N/A,N/A,N/A
Sloanea durissima,0,0,2000,100,N/A,N/A,N/A
Sloanea eichleri,0,0,0,0,800,0,N/A
Sloanea gracilis,0,N/A,100,N/A,1300,N/A,N/A
Sloanea guianensis,1100,600,2000,700,1100,1400,N/A
Sloanea latifolia,0,400,0,0,700,0,N/A
Sloanea robusta,1400,N/A,100,0,200,N/A,N/A
Sloanea rufa,1100,300,1200,800,1900,1300,N/A
Sloanea terniflora,0,0,0,200,800,0,N/A
Sloanea tuerckheimii,1700,1500,400,1500,1000,900,N/A
Socratea exorrhiza,3600,1200,900,400,2300,1100,N/A
Socratea rostrata,300,700,1300,400,N/A,N/A,N/A
Solanum allophyllum,0,N/A,N/A,N/A,N/A,N/A,N/A
Solanum anceps,0,1600,2100,2500,2900,2200,N/A
Solanum aphyodendron,600,1500,2400,1400,2300,2000,0
Solanum arboreum,1100,800,0,N/A,0,N/A,N/A
Solanum asperolanatum,0,1900,2400,2300,2500,2300,N/A
Solanum hypaleurotrichum,0,600,1600,N/A,0,N/A,N/A
Solanum lepidotum,300,2000,1800,1700,500,N/A,N/A
Solanum microleprodes,0,0,N/A,N/A,N/A,N/A,N/A
Solanum nutans,0,0,2100,2000,2800,1800,400
Solanum oblongifolium,500,1400,2100,1200,N/A,N/A,N/A
Solanum umbellatum,0,1100,700,N/A,0,N/A,N/A
Sorocea affinis,1200,N/A,0,N/A,N/A,N/A,N/A
Sorocea pubivena,1500,1600,1500,1000,1100,0,N/A
Sorocea sprucei,0,100,0,200,200,1200,N/A
Sorocea trophoides,1000,1200,1400,1600,0,N/A,N/A
Sphaeropteris quindiuensis,500,1400,1700,800,1800,100,N/A
Spirotheca rosea,800,1300,1300,400,1300,200,N/A
Spondias mombin,400,800,0,0,0,N/A,N/A
Spondias radlkoferi,200,N/A,N/A,0,N/A,N/A,N/A
Staphylea occidentalis,2700,2700,2600,2200,3200,700,0
Stenosepala hirsuta,0,N/A,N/A,N/A,N/A,N/A,N/A
Stenostomum acreanum,100,0,100,100,0,0,N/A
Stephanopodium angulatum,300,0,300,N/A,N/A,N/A,N/A
Sterculia apetala,0,500,800,2300,900,400,N/A
Blakea quadrangularis,1000,0,N/A,N/A,N/A,N/A,N/A
Bocconia frutescens,1000,1900,1800,1500,2400,2500,0
Bocconia integrifolia,0,2900,2500,1700,2100,2600,1200
Boehmeria caudata,2300,1600,1600,900,2200,2100,1400
Bomarea multiflora,1100,2600,2800,N/A,0,900,N/A
Bonamia trichantha,0,0,N/A,N/A,N/A,N/A,N/A
Brachycylix vageleri,100,N/A,N/A,N/A,N/A,N/A,N/A
Brosimum alicastrum,800,800,200,400,1800,N/A,N/A
Brosimum guianense,1400,600,900,2400,1400,1200,N/A
Brosimum lactescens,1400,600,900,1000,1300,1100,N/A
Brosimum rubescens,0,400,400,300,900,N/A,N/A
Brosimum utile,1200,1900,1500,200,1300,N/A,N/A
Brownea rosa-de-monte,200,0,N/A,N/A,N/A,N/A,N/A
Brownea santanderensis,0,N/A,N/A,N/A,N/A,N/A,N/A
Brunellia acostae,0,0,1600,N/A,N/A,N/A,N/A
Brunellia boqueronensis,200,0,N/A,N/A,N/A,N/A,N/A
Brunellia comocladifolia,1600,1700,1000,N/A,N/A,N/A,N/A
Brunellia dulcis,0,0,N/A,200,900,N/A,N/A
Brunellia sibundoya,0,300,0,N/A,1300,400,N/A
Brunellia subsessilis,0,0,N/A,N/A,N/A,N/A,N/A
Brunellia trianae,200,N/A,N/A,N/A,N/A,N/A,N/A
Bucquetia glutinosa,1100,1500,N/A,N/A,N/A,N/A,N/A
Sterculia pruriens,0,0,300,400,500,N/A,N/A
Stilpnophyllum oellgaardii,600,N/A,1500,2300,N/A,N/A,N/A
Strychnos toxifera,0,1100,0,N/A,200,N/A,N/A
Stylogyne longifolia,1300,1000,400,100,600,300,N/A
Stylogyne turbacensis,0,800,200,N/A,N/A,N/A,N/A
Styrax davillifolius,600,0,N/A,N/A,N/A,N/A,N/A
Styrax pavonii,0,2300,900,800,2000,N/A,N/A
Styrax pentlandianus,0,0,N/A,500,1400,2200,N/A
Styrax peruvianus,0,N/A,1000,500,N/A,N/A,N/A
Styrax tomentosus,0,0,1300,N/A,N/A,N/A,N/A
Swartzia amplifolia,100,300,100,N/A,0,N/A,N/A
Swartzia colombiana,0,N/A,N/A,N/A,N/A,N/A,N/A
Swartzia macrophylla,100,0,N/A,N/A,N/A,N/A,N/A
Swartzia myrtifolia,0,300,600,2300,1400,100,N/A
Swartzia oraria,200,400,0,N/A,0,N/A,N/A
Swartzia robiniifolia,100,100,N/A,N/A,N/A,N/A,N/A
Swartzia schultesii,0,0,0,N/A,N/A,N/A,N/A
Swartzia simplex,100,500,1400,1400,1300,200,N/A
Swietenia macrophylla,0,800,200,900,700,600,N/A
Symbolanthus pterocalyx,400,0,N/A,N/A,N/A,N/A,N/A
Symphonia globulifera,100,800,1900,1100,1400,1400,N/A
Symplocos flosfragrans,700,900,N/A,N/A,N/A,N/A,N/A
Symplocos phaeoneura,1200,N/A,N/A,N/A,N/A,N/A,N/A
Symplocos quindiuensis,0,300,N/A,N/A,N/A,N/A,N/A
Symplocos quitensis,0,300,1300,600,1100,1500,N/A
Symplocos theiformis,700,600,N/A,N/A,N/A,N/A,N/A
Tabebuia ochracea,100,100,N/A,0,N/A,N/A,N/A
Tabebuia rosea,1400,1100,N/A,N/A,N/A,N/A,N/A
Tabernaemontana cymosa,0,0,200,300,1500,1200,N/A
Tabernaemontana grandiflora,200,800,0,N/A,N/A,N/A,N/A
Tabernaemontana markgrafiana,0,1300,100,100,0,N/A,N/A
Tabernaemontana sananho,1100,1700,2100,1100,1000,N/A,N/A
Tachia parviflora,0,400,400,700,900,600,N/A
Talisia cerasina,0,1400,600,400,1000,0,N/A
Talisia hexaphylla,0,N/A,0,100,1000,500,N/A
Talisia nervosa,100,0,400,N/A,0,N/A,N/A
Tapirira guianensis,1700,1800,1800,1700,2000,1900,N/A
Tapura colombiana,800,100,N/A,N/A,N/A,N/A,N/A
Tapura guianensis,100,0,0,0,N/A,N/A,N/A
Terminalia amazonia,0,700,1900,800,1000,900,N/A
Terminalia oblonga,200,0,800,2300,1300,800,N/A
Terminalia tetraphylla,1300,0,800,N/A,1200,1000,N/A
Ternstroemia acrodantha,0,N/A,N/A,N/A,N/A,N/A,N/A
Ternstroemia macrocarpa,200,1000,300,N/A,N/A,N/A,N/A
Ternstroemia meridionalis,800,1100,N/A,N/A,200,N/A,N/A
Tessaria integrifolia,1600,2100,2100,2700,2300,2200,2400
Tetragastris altissima,0,0,0,500,900,500,N/A
Tetragastris panamensis,0,600,700,500,1100,100,N/A
Tetrathylacium johansenii,0,0,N/A,N/A,N/A,N/A,N/A
Tetrathylacium macrophyllum,0,1800,1500,1500,1300,N/A,N/A
Tetrorchidium andinum,0,1600,1700,N/A,200,N/A,N/A
Tetrorchidium euryphyllum,500,1100,0,N/A,N/A,N/A,N/A
Tetrorchidium rubrivenium,100,1500,2300,900,2100,1000,N/A
Theobroma cacao,1100,1500,2500,1300,900,200,N/A
Theobroma glaucum,0,600,200,N/A,0,N/A,N/A
Tournefortia cuspidata,0,400,100,500,500,100,N/A
Tournefortia fuliginosa,1700,1700,2200,0,N/A,N/A,N/A
Tournefortia scabrida,0,2500,3000,1400,0,N/A,N/A
Tovomita choisyana,0,0,300,N/A,N/A,N/A,N/A
Tovomita stylosa,100,1900,200,500,0,N/A,N/A
Tovomita trojitana,0,N/A,N/A,N/A,N/A,0,N/A
Toxicodendron striatum,1500,1500,1300,1200,1900,300,N/A
Trattinnickia aspera,1100,400,0,500,200,0,N/A
Trema integerrima,0,500,400,0,100,N/A,N/A
Trema micrantha,1700,2300,2100,2200,2800,2200,2800
Trichilia cipo,0,600,0,0,0,N/A,N/A
Trichilia elegans,1100,1000,800,800,2000,2500,N/A
Trichilia hirta,0,600,1400,0,1700,1700,N/A
Trichilia martiana,500,200,800,1100,0,N/A,N/A
Trichilia maynasiana,0,200,1800,500,600,100,N/A
Trichilia moschata,0,2300,0,N/A,N/A,N/A,N/A
Trichilia pallida,1400,1600,2100,2400,1900,1900,N/A
Trichilia pleeana,0,700,800,2300,1200,1200,N/A
Trichilia poeppigii,1200,0,1400,100,900,N/A,N/A
Trichilia quadrijuga,1600,1200,2000,200,1000,300,N/A
Trichilia schomburgkii,1300,100,N/A,0,0,N/A,N/A
Trichilia septentrionalis,0,1300,2000,1700,1300,1000,N/A
Trichospermum galeottii,0,100,400,N/A,N/A,N/A,N/A
Triplaris americana,1300,1100,1500,1000,1200,2400,N/A
Triplaris cumingiana,100,100,2000,1800,100,100,N/A
Trophis racemosa,0,800,700,900,0,N/A,N/A
Turpinia heterophylla,300,0,N/A,N/A,N/A,N/A,N/A
Ulex europaeus,200,1100,0,N/A,0,0,N/A
Unonopsis aviceps,0,N/A,N/A,N/A,N/A,N/A,N/A
Unonopsis pacifica,0,N/A,0,N/A,N/A,N/A,N/A
Urera baccifera,900,1800,2100,2000,2500,1700,1500
Urera caracasana,600,1800,1900,1700,2300,1300,400
Urera simplex,1100,1500,800,2600,1800,1900,1100
Uribea tamarindoides,0,N/A,N/A,N/A,N/A,N/A,N/A
Vachellia macracantha,0,900,1600,2200,1300,3600,1900
Vallea stipularis,1000,1800,2200,2400,2100,3700,500
Varronia cylindrostachya,1600,2800,2400,500,1400,1500,N/A
Vasconcellea goudotiana,900,400,N/A,N/A,N/A,N/A,N/A
Vasconcellea microcarpa,1400,1600,2300,2300,1700,1700,N/A
Vasconcellea pubescens,600,1500,800,N/A,0,N/A,N/A
Verbesina arborea,1500,1600,600,0,N/A,N/A,N/A
Verbesina nudipes,0,2800,0,N/A,N/A,N/A,N/A
Vernonanthura patens,1700,1700,2000,2100,2800,2800,N/A
Viburnum anabaptista,0,0,N/A,N/A,N/A,N/A,N/A
Viburnum antioquiense,300,N/A,N/A,N/A,N/A,N/A,N/A
Viburnum ayavacense,0,0,1300,N/A,0,1600,N/A
Viburnum hallii,1000,700,2400,2400,3100,1400,N/A
Viburnum lasiophyllum,0,0,100,N/A,N/A,0,N/A
Viburnum pichinchense,900,1100,2000,N/A,0,N/A,N/A
Viburnum reticulatum,0,N/A,N/A,500,N/A,N/A,N/A
Viburnum tinoides,2000,1800,600,N/A,N/A,N/A,N/A
Viburnum toronis,1200,2100,1400,N/A,N/A,N/A,N/A
Viburnum triphyllum,800,2000,2700,1700,700,0,N/A
Viburnum undulatum,1300,700,N/A,N/A,N/A,N/A,N/A
Virola calophylla,0,600,1800,900,1000,0,N/A
Virola dixonii,0,300,0,N/A,N/A,N/A,N/A
Virola elongata,100,1200,900,1000,1400,800,0
Virola flexuosa,0,300,800,600,800,300,N/A
Virola macrocarpa,800,500,N/A,N/A,N/A,N/A,N/A
Virola reidii,0,700,400,N/A,N/A,N/A,N/A
Virola sebifera,1500,1100,1600,1500,1500,1300,N/A
Vismia baccifera,3400,2300,1600,1600,500,100,N/A
Vismia cayennensis,0,700,1000,600,300,400,N/A
Vismia guianensis,2200,1800,0,2300,N/A,1500,N/A
Vismia laevis,100,1000,N/A,N/A,N/A,N/A,N/A
Vismia lauriformis,1900,500,700,0,1200,900,N/A
Vismia macrophylla,1100,1800,1500,200,900,N/A,N/A
Vitex capitata,0,200,N/A,0,N/A,N/A,N/A
Vitex compressa,0,800,N/A,N/A,N/A,N/A,N/A
Vitex cymosa,0,0,400,0,1100,400,N/A
Vitex triflora,0,900,100,600,1800,0,N/A
Vochysia ferruginea,1100,600,0,500,0,N/A,N/A
Vochysia lehmannii,3100,700,N/A,0,300,N/A,N/A
Vochysia megalantha,0,0,N/A,N/A,0,N/A,N/A
Warszewiczia coccinea,1400,1800,2100,1400,1200,600,N/A
Weinmannia auriculata,1100,500,500,700,2700,1200,N/A
Weinmannia cochensis,800,1100,1600,1800,1500,0,N/A
Weinmannia elliptica,700,1600,1800,1700,N/A,N/A,N/A
Weinmannia fagaroides,1200,1000,1600,1000,1200,1000,N/A
Weinmannia latifolia,0,1200,1700,500,1100,0,N/A
Weinmannia lentiscifolia,0,2200,1500,0,900,500,N/A
Weinmannia mariquitae,300,1000,2200,0,0,N/A,N/A
Weinmannia microphylla,400,300,100,200,700,1900,N/A
Weinmannia multijuga,700,1200,2700,0,1700,1200,N/A
Weinmannia pinnata,800,2800,2700,3200,2200,1400,N/A
Weinmannia pubescens,2000,2100,1600,1000,1900,N/A,N/A
Weinmannia reticulata,700,1100,1400,700,1200,1000,N/A
Weinmannia rollottii,1000,1200,1200,N/A,N/A,0,N/A
Weinmannia sorbifolia,400,2300,1700,1300,2300,2000,N/A
Weinmannia tomentosa,1400,1200,N/A,N/A,N/A,N/A,N/A
Wettinia fascicularis,600,600,0,N/A,N/A,N/A,N/A
Wettinia hirsuta,200,N/A,N/A,N/A,N/A,N/A,N/A
Wettinia kalbreyeri,300,900,1400,N/A,N/A,N/A,N/A
Wettinia microcarpa,200,N/A,N/A,N/A,N/A,N/A,N/A
Wettinia praemorsa,2200,1400,N/A,N/A,N/A,N/A,N/A
Wettinia quinaria,0,3500,1900,0,N/A,N/A,N/A
Witheringia coccoloboides,0,1300,0,N/A,N/A,N/A,N/A
Wittmackanthus stanleyanus,200,0,100,N/A,N/A,N/A,N/A
Xanthosoma sagittifolium,0,1400,1600,900,0,300,N/A
Xylopia amazonica,200,200,200,N/A,0,N/A,N/A
Xylopia aromatica,700,1300,0,200,600,0,N/A
Xylopia discreta,200,0,N/A,N/A,0,N/A,N/A
Xylopia frutescens,0,200,0,N/A,500,N/A,N/A
Xylopia polyantha,0,100,0,N/A,0,800,N/A
Xylopia sericea,200,0,200,100,400,0,N/A
Zanthoxylum acuminatum,0,600,1200,200,1300,1000,N/A
Zanthoxylum fagara,1400,1300,1300,2500,1700,2000,1100
Zanthoxylum formiciferum,0,1600,200,N/A,0,N/A,N/A
Zanthoxylum lenticulare,0,1400,N/A,N/A,N/A,N/A,N/A
